paper_id,authors,title
2017,"Guangjing Yan, Jinhwa Jang, Jinwook Seo",CommentVis: Unveiling Comment Insights Through Interactive Visualization Tool
2691,"Zhaohui Liang, Guan Li, Ruiqi Gu, Yang Wang, Guihua Shan",SampleViz: Concept based Sampling for Policy Refinement in Deep Reinforcement Learning
3934,"Minsuk Chang, Donghun Kim, Hyeon Jeon, Seokweon Jung, Jinwook Seo",CLeVer: Continual Learning Visualizer for Detecting Task Transition Failure
8906,Pere-Pau Vázquez,Are LLMs ready for Visualization?
