authors,title
"Zona Kostic, Catherine Dumas, Sarah Pratt, Johanna Beyer",Exploring Mid-Air Hand Interaction in Data Visualization
"Christoph Neuhauser,Christoph Neuhauser, Josef Stumpfegger, Rüdiger Westermann",Adaptive Sampling of 3D Spatial Correlations for Focus+Context  Visualization
"Petr Bobák ,Petr Bobák, Ladislav Čmolík, Martin Čadík",Reinforced Labels: Multi-Agent Deep Reinforcement Learning for Point-Feature Label Placement
"Hakam Alomari,Hakam W. Alomari, Christopher Vendome, Lane Rizkallah",A Comprehensive Evaluation Framework of Software Visualization Effectiveness
